name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Vibrio parahaemolyticus	670	species	10344823	1	1	0.0
Vibrio mimicus	674	species	8922704	1	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	1	0	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	0	0.0
Actinobacillus equuli	718	species	2431533	3	1	0.0
Haemophilus influenzae	727	species	2672708	2	1	0.0
Haemophilus parainfluenzae	729	species	2086875	8	6	0.0
[Haemophilus] ducreyi	730	species	10121291	1	0	0.0
[Haemophilus] parasuis	738	species	4546750	1	0	0.0
Pasteurella multocida	747	species	2546987	3	3	0.0
Prevotella ruminicola	839	species	3619559	2	0	0.0
Fusobacterium nucleatum	851	species	2948417	2	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	1	0.0
Desulfomicrobium baculatum	899	species	3942657	1	1	0.0
Acidaminococcus fermentans	905	species	2329769	3	0	0.0
Megasphaera elsdenii	907	species	2504349	3	0	0.0
Nitrobacter hamburgensis	912	species	5011522	3	1	0.0
Nitrobacter winogradskyi	913	species	3402093	3	2	0.0
Starkeya novella	921	species	4765023	3	3	0.0
Halothiobacillus neapolitanus	927	species	2582886	1	1	0.0
Herbaspirillum seropedicae	964	species	8221139	1	0	0.0
Flavobacterium johnsoniae	986	species	5603295	1	1	0.0
Rhodobacter capsulatus	1061	species	3871920	1	0	0.0
Rhodobacter sphaeroides	1063	species	5768316	8	2	0.0
Rhodomicrobium vannielii	1069	species	4014469	1	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	46	32	0.0
Blastochloris viridis	1079	species	11174693	1	0	0.0
Chloroflexus aurantiacus	1108	species	5258541	1	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	1	1	0.0
Gammaproteobacteria	1236	class	0	1	0	0.0
Finegoldia magna	1260	species	1986740	1	1	0.0
Micrococcus luteus	1270	species	2501097	8	7	0.0116951
Dermacoccus nishinomiyaensis	1274	species	3113642	5	1	0.0
Kytococcus sedentarius	1276	species	2785024	3	1	0.0
Staphylococcus epidermidis	1282	species	3296362	5	4	0.0177472
Staphylococcus haemolyticus	1283	species	2629003	1	1	0.0
Staphylococcus warneri	1292	species	2560716	1	1	0.0
Deinococcus radiodurans	1299	species	6628921	1	1	0.0
Streptococcus oralis	1303	species	1958690	2	0	0.0
Streptococcus salivarius	1304	species	3636237	1	1	0.0
Streptococcus sanguinis	1305	species	2388435	2	2	0.0122468
Streptococcus thermophilus	1308	species	3463400	1	1	0.0
Streptococcus pneumoniae	1313	species	2272871	5	1	1.84072e-16
Streptococcus parasanguinis	1318	species	2162630	3	1	0
Streptococcus intermedius	1338	species	1963517	1	0	0
Bacillus licheniformis	1402	species	8559910	1	0	0.0
Bacillus sp.	1409	species	4233615	1	0	0.0
Bacillus subtilis	1423	species	7550081	2	0	0.0
Bacillus methanolicus	1471	species	3425208	1	0	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	2	0	0.0
Moorella thermoacetica	1525	species	5377887	2	2	0.0
Leifsonia xyli	1575	species	2955779	23	4	0.0
Trueperella pyogenes	1661	species	3453353	1	1	0.0
Bifidobacterium bifidum	1681	species	2209322	1	1	0.0
Brevibacterium linens	1703	species	8072179	1	0	0.0
Cellulomonas	1707	genus	0	1	0	0.0
Corynebacterium	1716	genus	0	2	0	0.0
Eubacterium limosum	1736	species	4233519	2	0	0.0
Propionibacterium acnes	1747	species	3361368	191	179	0.330676
Acidipropionibacterium acidipropionici	1748	species	7323316	4	1	0.0
Actinobacteria	1760	class	0	1	0	0.0
Mycobacterium avium	1764	species	6028446	1	0	0.0
Mycobacterium fortuitum	1766	species	6254616	2	1	0.0
Mycobacterium intracellulare	1767	species	5374059	1	0	0.0
Mycobacterium kansasii	1768	species	6489764	1	1	0.0
Mycobacterium phlei	1771	species	5349645	3	1	0.0
Mycobacterium gilvum	1804	species	5883060	2	2	0.0
Mycobacterium vaccae	1810	species	6235754	1	0	0.0
Rhodococcus fascians	1828	species	5502110	6	0	0.0
Rhodococcus erythropolis	1833	species	6734667	1	0	0.0
Saccharopolyspora erythraea	1836	species	8212805	1	1	0.0
Geodermatophilus obscurus	1861	species	5322497	2	1	0.0
Actinoplanes missouriensis	1866	species	8773466	2	2	0.00333399
Streptomyces albus	1888	species	15352626	5	1	0.0
Streptomyces ambofaciens	1889	species	8265737	1	1	0.0
Streptomyces clavuligerus	1901	species	7590758	1	1	0.0
Streptomyces coelicolor	1902	species	9054847	1	1	0.0
Streptomyces glaucescens	1907	species	7623774	2	0	0.0
Streptomyces globisporus	1908	species	7783599	2	0	0.0
Streptomyces hygroscopicus	1912	species	10333189	1	1	0.0
Streptomyces lincolnensis	1915	species	10319054	2	1	0.0
Streptomyces lividans	1916	species	8345283	1	0	0.0
Streptomyces scabiei	1930	species	10148695	1	1	0.0
Streptosporangium roseum	2001	species	10369518	2	1	0.0
Thermobispora bispora	2006	species	4189976	1	0	0.0
Thermomonospora curvata	2020	species	5639016	1	0	0.0
Microbacterium testaceum	2033	species	3982034	4	2	0.0
Curtobacterium	2034	genus	0	2	0	0.0
Aeromicrobium erythreum	2041	species	3629239	1	1	0.0
Pimelobacter simplex	2045	species	5637360	3	3	0.0
Rothia dentocariosa	2047	species	2506025	9	8	0.0
Gordonia bronchialis	2054	species	5290012	1	1	0.0
Gordonia terrae	2055	species	5701501	1	1	0.0
Kitasatospora setae	2066	species	8783278	2	2	0.0
Pseudonocardiaceae	2070	family	0	2	0	0.0
Haloferax volcanii	2246	species	4012900	1	0	0.0
Haloferax mediterranei	2252	species	3904707	1	0	0.0
Teredinibacter turnerae	2426	species	5193164	1	1	0.0
Roseobacter denitrificans	2434	species	4331234	1	0	0.0
Gardnerella vaginalis	2702	species	1669705	2	2	0.0175185
Symbiobacterium thermophilum	2734	species	3566135	2	1	0.0
Carnobacterium maltaromaticum	2751	species	3650416	3	3	0.0
Homo sapiens	9606	species	3238442024	157	77	9.03232e-06
Friend murine leukemia virus	11795	leaf	8323	1	0	0.0
Moloney murine leukemia virus	11801	leaf	8332	2	0	0.0
Spleen focus-forming virus	11819	species	6296	1	0	0.0
Magnetospirillum	13134	genus	0	3	0	0.0
Sphingomonas	13687	genus	0	1	0	0.0
Staphylococcus lugdunensis	28035	species	3479969	2	2	0.00840544
Streptococcus mitis	28037	species	3110438	6	2	0.0
Neisseria weaveri	28091	species	2188497	2	0	0.0
Burkholderia gladioli	28095	species	8975879	1	1	0.0
Prevotella denticola	28129	species	2937589	2	1	7.91423e-13
Prevotella intermedia	28131	species	2718355	1	0	0.0
Prevotella melaninogenica	28132	species	3168282	1	0	0.0
Cronobacter sakazakii	28141	species	5648091	1	1	0.0
Serratia proteamaculans	28151	species	5495657	2	2	0.0
Chelatococcus	28209	genus	0	4	0	0.0
Clavibacter michiganensis	28447	species	3302478	9	3	0.0
Streptomyces cattleya	29303	species	16188068	1	1	0.0
Staphylococcus capitis	29388	species	2503265	1	0	6.70509e-15
Microlunatus phosphovorus	29405	species	5683123	1	1	0.0
Rhodoplanes	29407	genus	0	1	0	0.0
Moraxella ovis	29433	species	2306095	1	1	0.0
Rhizobium etli	29449	species	6784960	10	3	0.0
Brucella melitensis	29459	species	4250264	1	0	0.0
Brucella suis	29461	species	8101909	1	0	0.0
Veillonella parvula	29466	species	2132142	2	2	0.0137189
Rhodothermus marinus	29549	species	3360429	1	1	0.0
Amycolatopsis orientalis	31958	species	9236541	2	1	0.0
Rhodobacteraceae	31989	family	0	2	0	0.0
Methylobacterium radiotolerans	31998	species	6899110	4	2	0.0
Achromobacter denitrificans	32002	species	6226215	4	1	0.0
Burkholderia	32008	genus	0	2	0	0.0
synthetic construct	32630	species	26537524	116	49	0.00330671
Cutibacterium avidum	33010	species	2627993	7	5	0.0
Sphingopyxis macrogoltabida	33050	species	16800329	24	9	0
Sphingopyxis terrae	33052	species	3983415	10	1	0.00734311
Thauera	33057	genus	0	3	0	0.0
Gloeobacter violaceus	33072	species	4659019	1	1	0.0
Rathayibacter	33886	genus	0	1	0	0.0
Rathayibacter tritici	33888	species	3354681	19	1	0.0
Geobacillus thermodenitrificans	33940	species	3608012	1	0	0.0
Paracoccus aminophilus	34003	species	4873118	9	0	0.00600245
Rhodospirillum centenum	34018	species	4355543	3	3	0.0
Leptothrix cholodnii	34029	species	4909403	4	4	0.0
Moraxella osloensis	34062	species	2649137	11	11	0.0
Variovorax paradoxus	34073	species	6817856	1	1	0.0
Geobacter sulfurreducens	35554	species	3764200	1	1	0.0
Mycobacterium indicus pranii	35617	species	5589007	1	0	0.0
Haloferax gibbonsii	35746	species	3918454	1	0	0.0
Rhodovulum sulfidophilum	35806	species	6638597	5	3	0.0
Pseudomonas cichorii	36746	species	5986012	1	0	0.0
Brucella canis	36855	species	6599418	1	0	0.0
Paraburkholderia xenovorans	36873	species	19434089	2	1	0.0
Nocardia brasiliensis	37326	species	9436348	1	1	0.0
Nocardia nova	37330	species	8348532	2	1	0.0
Marichromatium purpuratum	37487	species	3779112	1	1	0.0
Rhodococcus opacus	37919	species	8880502	6	4	0.0
Streptomyces pristinaespiralis	38300	species	8532592	1	1	0.0
Corynebacterium vitaeruminis	38305	species	2931780	2	0	0.0
Mesorhizobium ciceri	39645	species	6838036	5	3	0.0
Dialister pneumosintes	39950	species	1274073	1	1	0.0
Erythrobacter litoralis	39960	species	3151875	3	0	0.0
Oligotropha carboxidovorans	40137	species	5740737	7	2	0.0
Acinetobacter johnsonii	40214	species	4081329	6	3	0.0143339
Stenotrophomonas maltophilia	40324	species	6512435	40	38	0.0
Leptotrichia buccalis	40542	species	2465610	2	2	0.0
Actinosynnema mirum	40567	species	8248144	1	1	0.0
Brevundimonas	41275	genus	0	4	0	0.0
Bradyrhizobiaceae	41294	family	0	1	0	0.0
Sphingomonadaceae	41297	family	0	2	0	0.0
Burkholderia plantarii	41899	species	8081051	1	0	0.0
Streptomyces sampsonii	42239	species	7070328	3	1	0.0
Nitrospira moscoviensis	42253	species	4589485	1	1	0.0
Rubrobacter radiotolerans	42256	species	3267233	1	1	0.0
Roseobacter litoralis	42443	species	4745450	1	0	0.0
Marinovum algicola	42444	species	5252390	1	1	0.0
Corynebacterium argentoratense	42817	species	2031902	1	1	0.0
Pseudomonas alcaligenes	43263	species	4406305	16	10	0.0
Pseudomonas denitrificans	43306	species	5696307	9	1	0.0
Kutzneria albida	43357	species	9874926	1	1	0.0
Brachybacterium faecium	43669	species	3614992	2	2	0.0
Rothia mucilaginosa	43675	species	2278659	6	4	0.0128368
Rhodococcus equi	43767	species	5043170	1	1	0.0
Corynebacterium urealyticum	43771	species	2342642	1	0	0.0
Bradyrhizobium oligotrophicum	44255	species	8264165	4	0	0.0
Streptococcus cristatus	45634	species	2142100	1	0	0
Staphylococcus pasteuri	45972	species	2559946	1	1	0.0
Sphingobium chlorophenolicum	46429	species	4573221	2	0	0.0
Streptomyces lydicus	47763	species	8750753	3	0	0.0
Pseudomonas azotoformans	47878	species	6859618	2	1	0.0
Pseudomonas fulva	47880	species	4920769	5	3	0.0
Pseudomonas oryzihabitans	47885	species	4834356	1	1	0.0
Acinetobacter pittii	48296	species	6018266	1	0	0.0
Novosphingobium aromaticivorans	48935	species	4233314	4	3	0.0
Rubrobacter xylanophilus	49319	species	3225748	1	0	0.0
Prevotella dentalis	52227	species	3350206	1	1	0.0
Intrasporangium calvum	53358	species	4024382	2	1	0.0
Hyphomicrobium denitrificans	53399	species	3723828	2	0	0.0
Pseudomonas citronellolis	53408	species	14631203	7	4	0.0
Pseudomonas resinovorans	53412	species	6484828	7	4	0.0
Xanthomonas axonopodis	53413	species	5343358	2	0	0
Octadecabacter arcticus	53946	species	5478249	2	0	0.0
Streptomyces venezuelae	54571	species	18089227	2	1	0.0
Janthinobacterium agaricidamnosum	55508	species	5949001	3	0	0.0
Magnetospirillum gryphiswaldense	55518	species	4365796	1	1	0.0
Xanthomonas sacchari	56458	species	5006106	1	1	0.0
Rhizobium gallicum	56730	species	7311190	2	0	0.0
Desulfovibrio alaskensis	58180	species	3730232	1	1	0.0
Actinotignum schaalii	59505	species	2159306	1	0	0.0
Shewanella amazonensis	60478	species	4306142	2	0	0.0
Burkholderia pyrrocinia	60550	species	7961346	3	2	0.0
Burkholderia vietnamiensis	60552	species	14209387	1	0	0.0
Phaeobacter gallaeciensis	60890	species	4300940	3	1	0.0
Sanguibacter keddieii	60920	species	4253413	7	4	0.0
Enterobacter asburiae	61645	species	6470569	5	1	0.0
Pluralibacter gergoviae	61647	species	5489680	1	1	0.0
Serratia rubidaea	61652	species	4922834	1	0	0.0
Shewanella baltica	62322	species	5379488	1	1	0.0
Acinetobacter sp. ADP1	62977	species	3598621	1	1	0.0
Mitsuaria	65047	genus	0	1	0	0.0
Pseudomonas knackmussii	65741	species	6162905	7	4	0.0
Streptomyces cyaneogriseus	68192	species	7762396	1	0	0.0
Streptomyces fulvissimus	68202	species	7905758	3	0	0.0
Streptomyces violaceusniger	68280	species	11138313	1	0	0.0
Mesorhizobium	68287	genus	0	2	0	0.0
Cupriavidus basilensis	68895	species	8421483	1	1	0.0
Pseudomonas sp. VLB120	69328	species	5966222	16	0	0.0
Caulobacter henricii	69395	species	3957288	4	1	0.0
Pseudomonas plecoglossicida	70775	species	6233254	16	0	0.00627999
Kocuria palustris	71999	species	2854447	4	1	0.0102474
Thiocystis violascens	73141	species	5017071	1	1	0.0
Thermaerobacter marianensis	73919	species	2844696	1	0	0.0
Brevundimonas subvibrioides	74313	species	3445263	1	0	0.0
Pseudomonas balearica	74829	species	4383480	4	3	0.0
Pseudomonas mandelii	75612	species	7188564	2	0	0.0
Mannheimia haemolytica	75985	species	2934797	1	0	0.0
Prevotella enoeca	76123	species	2861432	3	0	0.0102224
Roseateles depolymerans	76731	species	5681722	1	1	0.0
Pseudomonas monteilii	76759	species	5553188	4	1	0.0
Streptococcus constellatus	76860	species	1954077	1	1	0.0
Caulobacteraceae	76892	family	0	3	0	0.0
Pseudomonas mosselii	78327	species	6247860	2	0	0.0
Asticcacaulis excentricus	78587	species	4308776	3	0	0.0
Bacillus gibsonii	79881	species	4100094	1	0	0.0
Haliangium ochraceum	80816	species	9446314	4	2	0.0
Herbaspirillum rubrisubalbicans	80842	species	5611261	1	0	0.0
Comamonadaceae	80864	family	0	2	0	0.0
Delftia acidovorans	80866	species	6767514	88	46	0.0777999
Acidovorax avenae	80867	species	5482170	3	1	0.0
Acidovorax citrulli	80869	species	5352772	4	2	0.0
Rhizobiaceae	82115	family	0	1	0	0.0
Cupriavidus gilardii	82541	species	5578743	1	0	0.0
Aminobacter aminovorans	83263	species	6890726	2	1	0.0
Stenotrophomonas nitritireducens	83617	species	4541729	1	1	0.0
Nocardiopsaceae	83676	family	0	1	0	0.0
Methanoculleus bourgensis	83986	species	2789774	1	1	0.0
Magnetospirillum magneticum	84159	species	4967148	1	1	0.0
Microbacterium chocolatum	84292	species	3168630	1	0	0.0
Gordonia polyisoprenivorans	84595	species	5844299	4	4	0.00500499
Beutenbergia cavernae	84757	species	4669183	3	1	0.0
Micrococcales	85006	order	0	2	0	0.0
Corynebacteriales	85007	order	0	1	0	0.0
Brevibacteriaceae	85019	family	0	1	0	0.0
Microbacteriaceae	85023	family	0	1	0	0.0
Nakamurellaceae	85031	family	0	1	0	0.0
Mannheimia varigena	85404	species	2201818	1	0	0.0
Achromobacter xylosoxidans	85698	species	9063264	35	19	1.63305e-14
Burkholderia multivorans	87883	species	13696114	1	1	0.0
Caulobacter segnis	88688	species	4655622	4	0	0.0
Ruegeria pomeroyi	89184	species	4601048	1	0	0.0
Ketogulonicigenium vulgare	92945	species	5302341	2	0	0.0
Pandoraea apista	93218	species	16769721	1	0	0.0
Pandoraea pnomenusa	93220	species	11008666	2	1	0.0
Roseateles	93681	genus	0	1	0	0.0
Shewanella sp. ANA-3	94122	species	5251146	1	0	0.0
Ramlibacter tataouinensis	94132	species	4493411	9	8	0.0
Bordetella petrii	94624	species	5287950	2	0	0.0
Burkholderia cenocepacia	95486	species	15410767	4	0	2.86109e-13
Bordetella hinzii	103855	species	9772861	1	1	0.0
Ralstonia mannitolilytica	105219	species	9915295	4	0	0.0
Cupriavidus	106589	genus	0	1	0	0.0
Cupriavidus necator	106590	species	7948767	3	1	0.0
Ensifer adhaerens	106592	species	7267502	5	3	0.0
Acinetobacter nosocomialis	106654	species	4061750	1	0	0.0
Opitutus terrae	107709	species	5957605	1	1	0.0
Sinorhizobium medicae	110321	species	6817576	3	3	0.0
Bradyrhizobium sp. ORS 278	114615	species	7456587	18	6	0.0
Methylobacterium nodulans	114616	species	8839022	2	0	0.0
Sphingopyxis alaskensis	117207	species	3373713	7	2	0.0
Burkholderiaceae	119060	family	0	4	0	0.0
Hydrogenophilales	119069	order	0	1	0	0.0
Brucella pinnipedialis	120576	species	3365148	1	0	0.0
Brucella ceti	120577	species	3278034	1	0	0.0
Pseudarthrobacter sulfonivorans	121292	species	5056151	1	1	0.0
Pannonibacter phragmitetus	121719	species	5669701	8	4	0.0
Bordetella trematum	123899	species	4485537	2	2	0.0
Stenotrophomonas acidaminiphila	128780	species	4138297	5	4	0.0
Kineococcus radiotolerans	131568	species	4956672	5	5	0.00590127
Rhodococcus jostii	132919	species	9702737	2	1	0.0
Caldilinea aerophila	133453	species	5144873	1	1	0.0
Mycobacterium goodii	134601	species	7105933	1	1	0.0
Actinoplanes sp. SE50/110	134676	species	9239851	3	3	0.0
Nocardia cyriacigeorgica	135487	species	6194645	2	0	0.0
Corynebacterium testudinoris	136857	species	2721226	1	0	0.0
Blastococcus saxobsidens	138336	species	4875340	1	1	0.0
Rathayibacter toxicus	145458	species	4674320	6	0	0.0
Corynebacterium simulans	146827	species	5336673	3	3	0.0
Azospira	146937	genus	0	1	0	0.0
Azospira oryzae	146939	species	3806980	1	0	0.0
Carnobacterium inhibens	147709	species	2497115	4	0	0.0351413
Anoxybacillus	150247	genus	0	1	0	0.0
Starkeya	152053	genus	0	3	0	0.0
Sphingomonas melonis	152682	species	4196755	11	9	0.00696983
Caulobacter vibrioides	155892	species	4029938	7	3	0.0
Pseudomonas parafulva	157782	species	5087619	2	1	0.0
Pseudomonas cremoricolorata	157783	species	4780403	1	1	0.0
Chromohalobacter salexigens	158080	species	3696649	2	2	0.0
Novosphingobium resinovorum	158500	species	6918128	7	2	0.0
Cedecea neteri	158822	species	23867322	1	0	0.0
Enterobacter hormaechei	158836	species	11766809	1	0	0.0
Roseibacterium elongatum	159346	species	3555109	2	1	0.0
Sphingomonas wittichii	160791	species	5915246	2	1	0.0
Acidithiobacillus ferrivorans	160808	species	3207552	1	1	0.0
Anaeromyxobacter dehalogenans	161493	species	5021404	1	0	0.0
Corynebacterium singulare	161899	species	2830519	1	1	0.0
Sphingobium	165695	genus	0	2	0	0.0
Novosphingobium	165696	genus	0	1	0	0.0
Sphingopyxis	165697	genus	0	2	0	0.0
Salinispora arenicola	168697	species	5786361	1	1	0.0
Corynebacterium aurimucosum	169292	species	2819226	2	2	0.0
Tistrella mobilis	171437	species	6512983	1	1	0.0
Elizabethkingia miricola	172045	species	4242519	1	1	0.0
Alicycliphilus denitrificans	179636	species	4953232	9	2	0.0
Delftia tsuruhatensis	180282	species	7195716	25	2	1.90588e-14
Kribbella flavida	182640	species	7579488	1	1	0.0
Desulfovibrio magneticus	184917	species	5315620	1	0	0.0
Xylanimonas cellulosilytica	186189	species	3831380	1	0	0.0
Zaire ebolavirus	186538	species	18959	36	35	0.0
Lambdavirus	186765	genus	0	2	0	0.0
Methylocystis sp. SC2	187303	species	3773444	1	1	0.0
Acidaminococcus intestini	187327	species	2487765	3	0	0.0
Ralstonia insidiosa	190721	species	12164766	58	41	0.0134719
Rhodococcus aetherivorans	191292	species	5922748	2	0	0.0
Conexibacter woesei	191495	species	6359369	1	1	0.0
Corynebacterium atypicum	191610	species	2359448	1	0	0.0
Rhodoferax ferrireducens	192843	species	4969784	9	5	0.0
Synechococcus sp. PCC 6312	195253	species	3720499	1	1	0.0
Nocardioides sp. JS614	196162	species	5293685	1	1	0.0
Actinoplanes friuliensis	196914	species	9376071	1	1	0.0
Pseudomonas koreensis	198620	species	12292986	8	7	0.0
Methylocella silvestris	199596	species	4305430	1	1	0.0
Pseudomonas poae	200451	species	5512241	1	0	0.0
Caulobacterales	204458	order	0	1	0	0.0
Novosphingobium pentaromativorans	205844	species	5457578	6	2	0
Enterobacter kobei	208224	species	4927478	4	0	0.0
Carnobacterium sp. 17-4	208596	species	2685399	4	0	7.18661e-15
Mycobacterium sp. JS623	212767	species	7221766	1	1	0.0
Pseudomonas rhizosphaerae	216142	species	4688635	4	0	0.0
Polaromonas naphthalenivorans	216465	species	5366143	2	1	0.0
Thalassospira xiamenensis	220697	species	4768950	1	1	0.0
Mycobacterium chimaera	222805	species	6328534	1	0	0.0
Methylobacterium populi	223967	species	5848997	3	1	0.0
Thermovibrio ammonificans	228745	species	1759526	1	0	0.0
Acidovorax sp. JS42	232721	species	4585154	8	3	0.0
Pseudomonas alkylphenolia	237609	species	5764622	1	0	0.0
Pseudonocardia dioxanivorans	240495	species	7303989	2	1	0.0
Klebsiella variicola	244366	species	10894097	1	0	0.0
Pseudomonas syringae group genomosp. 3	251701	species	6538260	4	3	0.0
Microbulbifer thermotolerans	252514	species	3938396	1	1	0.0
Paraburkholderia phenoliruptrix	252970	species	7651131	1	0	0.0
Isoptericola	254250	genus	0	1	0	0.0
Fictibacillus arsenicus	255247	species	4055461	1	1	0.0
Parvibaculum lavamentivorans	256618	species	3914745	1	0	0.0
Streptococcus pseudopneumoniae	257758	species	2195458	3	0	0.0133233
Dechloromonas aromatica	259537	species	4501104	2	1	0.0
Lysobacter gummosus	262324	species	6056618	1	1	0.0
Chelativorans sp. BNC1	266779	species	4935185	4	1	0.0
Sphingopyxis granuli	267128	species	4679853	11	6	0.0
Nitratifractor salsuginis	269261	species	2101285	1	0	0.0
Methylobacterium aquaticum	270351	species	7557960	2	1	0.0
Chlorobaculum parvum	274539	species	2289249	1	1	0.0
Collimonas arenae	279058	species	15078336	1	0	0.0
Collimonas pratensis	279113	species	11315924	2	1	0.0
Stackebrandtia nassauensis	283811	species	6841557	5	1	0.0
Phenylobacterium zucineum	284016	species	4379231	3	0	0.0
Segniliparus rotundus	286802	species	3157527	2	1	0.0
Bradyrhizobium sp. BTAi1	288000	species	8493513	256	243	0.0895409
Arthrobacter sp. FB24	290399	species	5070478	2	2	0.0
Ruegeria sp. TM1040	292414	species	4153699	1	1	0.0
Sphingopyxis sp. 113P3	292913	species	4664213	6	3	0.0
Martelella	293088	genus	0	1	0	0.0
Polaromonas sp. JS666	296591	species	5898676	1	1	0.0
Catenulispora acidiphila	304895	species	10467782	1	1	0.0
Candidatus Liberibacter americanus	309868	species	1195201	1	0	0.0
Pseudomonas entomophila	312306	species	5888780	2	1	0.0
Pseudoxanthomonas suwonensis	314722	species	3655384	2	1	0.0
Leadbetterella byssophila	316068	species	4059653	1	1	0.0
Paucibacter	318147	genus	0	1	0	0.0
Dokdonella koreensis	323415	species	4446619	1	1	0.0
Bacillus infantis	324767	species	4884713	1	0	0.0
Sphingobium japonicum	332056	species	4424862	4	1	0.00661052
Bradyrhizobium sp. S23321	335659	species	7231841	15	6	0.0
