name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	0	0.0
Cellulomonas gilvus	11	species	3526441	1	1	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Myxococcus fulvus	33	species	10026214	1	1	0.0
Myxococcus xanthus	34	species	9139763	2	1	0.0
Stigmatella aurantiaca	41	species	10260756	1	1	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Caulobacter	75	genus	0	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	1	0	0.0
Azospirillum lipoferum	193	species	7223069	4	2	0.0
Brucella	234	genus	0	3	2	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Paracoccus denitrificans	266	species	5236194	29	19	0.00466149
Xanthobacter	279	genus	0	7	0	0.0
Xanthobacter autotrophicus	280	species	5625098	7	4	0.0
Comamonas testosteroni	285	species	5695231	17	3	0.0
Pseudomonas	286	genus	0	10	4	0.0
Pseudomonas aeruginosa	287	species	22457305	63	30	0.000975157
Burkholderia cepacia	292	species	13365495	14	1	0
Pseudomonas fluorescens	294	species	14826544	209	105	0.000946803
Pseudomonas fragi	296	species	5101809	4	0	0.0
Pseudomonas mendocina	300	species	5293211	248	203	0.00248958
Pseudomonas putida	303	species	6888188	41	10	0
Ralstonia solanacearum	305	species	11186335	9	0	3.80707e-25
Pseudomonas stutzeri	316	species	7755802	46	35	0.001061
Pseudomonas syringae	317	species	6129101	8	1	0.0
Ralstonia pickettii	329	species	6378979	6	3	2.27332e-14
Pseudomonas pseudoalcaligenes	330	species	4691662	495	458	0.0376958
Burkholderia glumae	337	species	7333967	2	1	0.0
Xanthomonas	338	genus	0	1	0	0.0
Xanthomonas campestris	339	species	7063896	18	17	0.00345538
Xanthomonas translucens	343	species	4638247	2	1	0.0
Xanthomonas citri	346	species	17318955	1	0	0.0
Xanthomonas oryzae	347	species	17545599	5	1	0.0
Azotobacter chroococcum	353	species	5192286	8	5	0.0
Azotobacter vinelandii	354	species	5351632	6	2	0.0
Rhizobiales	356	order	0	6	0	0.0
Agrobacterium	357	genus	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	549	109	0.0016864
Agrobacterium vitis	373	species	6320946	13	10	0.00193076
Bradyrhizobium	374	genus	0	16	0	0.0
Bradyrhizobium japonicum	375	species	9215796	31	19	1.04202e-13
Bradyrhizobium sp.	376	species	7547693	25	10	0
Rhizobium	379	genus	0	17	8	0.0
Sinorhizobium fredii	380	species	6891900	12	10	0.0
Mesorhizobium loti	381	species	7539018	9	6	0.0
Sinorhizobium meliloti	382	species	6962835	10	4	0.0
Rhizobium leguminosarum	384	species	7369497	37	20	0.0
Rhizobium phaseoli	396	species	87841097	23	5	0.0
Rhizobium tropici	398	species	6686334	5	2	0.0
Neorhizobium galegae	399	species	6434105	22	17	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylobacterium extorquens	408	species	6163878	13	5	0.0
Gluconobacter	441	genus	0	2	0	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Acinetobacter baumannii	470	species	11595472	2	1	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0.0
Neisseria lactamica	486	species	2220606	5	1	4.6373e-17
Neisseria meningitidis	487	species	8508873	10	5	0.00110835
Neisseria elongata	495	species	2256647	11	4	0.00458045
Kingella kingae	504	species	2140065	7	0	0.00787143
Bordetella bronchiseptica	518	species	6491145	10	1	0.0
Bordetella parapertussis	519	species	4815611	2	0	0.0
Bordetella pertussis	520	species	48698463	3	0	0.0
Bordetella avium	521	species	3732255	1	0	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	8	3	0.000838146
Chromobacterium violaceum	536	species	4751080	2	1	0.0
Zymomonas mobilis	542	species	2426073	1	1	0.0
Enterobacteriaceae	543	family	0	4	0	0.0
Citrobacter freundii	546	species	16193243	3	3	0.0
Pantoea agglomerans	549	species	9924054	1	0	0.0
Enterobacter cloacae	550	species	10083180	1	0	0.0
Pantoea ananatis	553	species	4842757	1	0	0.0
Escherichia coli	562	species	12319210	7	1	4.10804e-13
Escherichia fergusonii	564	species	4643861	1	0	0.0
Klebsiella oxytoca	571	species	16779606	3	0	3.78986e-15
Klebsiella pneumoniae	573	species	15713353	1	0	0.0
Serratia liquefaciens	614	species	7946985	2	0	3.06274e-13
Serratia marcescens	615	species	8465231	1	0	0.0
Yersinia	629	genus	0	2	0	0.0
Aeromonas hydrophila	644	species	7739252	6	3	0.0
Vibrio parahaemolyticus	670	species	10344823	1	1	0.0
Grimontia hollisae	673	species	3998273	1	1	0.0
Vibrio mimicus	674	species	8922704	1	1	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus influenzae	727	species	2672708	2	1	0.0
Haemophilus parainfluenzae	729	species	2086875	8	6	0.00779745
[Haemophilus] parasuis	738	species	4546750	1	0	0.0
Sebaldella termitidis	826	species	4486650	1	1	0.0
Prevotella ruminicola	839	species	3619559	2	0	0.0
Fusobacterium nucleatum	851	species	2948417	1	0	0
Desulfovibrio desulfuricans	876	species	3366008	2	2	0.0
Megasphaera elsdenii	907	species	2504349	3	0	0.0
Nitrobacter hamburgensis	912	species	5011522	15	3	0.0
Nitrobacter winogradskyi	913	species	3402093	20	3	0.0
Nitrosomonas europaea	915	species	2812094	2	0	0.0
Starkeya novella	921	species	4765023	4	3	0.0
Halothiobacillus neapolitanus	927	species	2582886	1	1	0.0
Herbaspirillum seropedicae	964	species	8221139	2	2	0.0
Pedobacter heparinus	984	species	5167383	3	0	0.0
Rhodobacter	1060	genus	0	2	0	0.0
Rhodobacter capsulatus	1061	species	3871920	3	1	0.0
Rhodobacter sphaeroides	1063	species	5768316	4	3	0.0
Rhodopseudomonas palustris	1076	species	5408501	43	24	0.0
Blastochloris viridis	1079	species	11174693	5	1	0.0
Pararhodospirillum photometricum	1084	species	3876289	1	1	0.0
Rhodospirillum rubrum	1085	species	4379691	1	1	0.0
Micrococcus luteus	1270	species	2501097	9	9	0.00162652
Dermacoccus nishinomiyaensis	1274	species	3113642	1	1	0.0
Staphylococcus epidermidis	1282	species	3296362	5	5	0.0
Staphylococcus haemolyticus	1283	species	2629003	1	1	0.0
Staphylococcus warneri	1292	species	2560716	1	1	0.0
Deinococcus radiodurans	1299	species	6628921	3	3	0.0
Streptococcus oralis	1303	species	1958690	1	0	0.0
Streptococcus sanguinis	1305	species	2388435	3	3	0.00340648
Streptococcus thermophilus	1308	species	3463400	1	1	0.0
Streptococcus pneumoniae	1313	species	2272871	3	0	0.0
Streptococcus parasanguinis	1318	species	2162630	1	0	0.0
Enterococcus hirae	1354	species	2908247	2	2	0.0
Bacillus subtilis	1423	species	7550081	1	0	0.0
Clostridium novyi	1542	species	2547720	1	0	0.0
Leifsonia xyli	1575	species	2955779	27	11	0.012972
Lactobacillus delbrueckii	1584	species	1920382	3	3	0.0
Trueperella pyogenes	1661	species	3453353	1	0	0.0
Bifidobacterium bifidum	1681	species	2209322	1	1	0.0
Bifidobacterium breve	1685	species	2328021	1	0	0.0
Cellulomonas	1707	genus	0	1	0	0.0
Cellulomonas fimi	1708	species	4266344	1	1	0.0
Corynebacterium	1716	genus	0	2	2	0.0
